,Open flux,Eddy pro
,mg/(m^2 s),mg/(m^2 s)
19:00,-3.82E-5,-3.80568E-5
19:30,9.14E-6,9.1299E-6
20:00,2.49553E-4,2.73674E-4
20:30,-1.67749E-4,-1.67302E-4
21:00,5.14E-6,1.98158E-6
21:30,2.86E-5,2.53232E-5
22:00,-4.93E-5,-4.91731E-5
22:30,3.66E-6,6.67517E-6
23:00,1.54918E-4,1.55365E-4
23:30,-7.82E-5,-7.80811E-5
2024/7/8 0:00,-3.02E-5,-3.01195E-5
0:30,-4.55E-5,-4.57299E-5
1:00,-8.3E-6,-8.26907E-6
1:30,6.16E-5,6.35477E-5
2:00,-1.08623E-4,-1.06544E-4
2:30,-4.96E-5,-5.04906E-5
3:00,-3.73926E-4,-3.77581E-4
3:30,-9.36E-6,-1.05736E-5
4:00,-3.04E-5,-3.02693E-5
4:30,2.93E-5,3.16978E-5
5:00,1.61E-5,1.90037E-5
5:30,2.14183E-4,2.14766E-4
6:00,2.73E-5,3.15998E-5
6:30,-7.14E-5,-7.12331E-5
7:00,-6.14E-5,-6.12754E-5
7:30,-1.03227E-4,-1.02984E-4
8:00,5.93E-5,7.4543E-5
8:30,-6.47E-5,-6.48547E-5
9:00,-2.25949E-4,-2.25003E-4
9:30,-2.47791E-4,-2.4733E-4
10:00,-2.31296E-4,-2.3072E-4
10:30,-2.26036E-4,-2.25485E-4
11:00,-1.12838E-4,-1.12568E-4
11:30,-1.86612E-4,-1.86091E-4
12:00,-2.7203E-4,-2.71352E-4
12:30,-2.49126E-4,-2.48541E-4
13:00,-5.76338E-4,-5.74848E-4
13:30,1.96842E-4,4.28237E-4
14:00,-2.59061E-4,-2.58432E-4
14:30,-3.20389E-4,-3.19093E-4
15:00,-2.67345E-4,-2.66699E-4
15:30,-2.99073E-4,-2.9835E-4
16:00,-1.87934E-4,-1.87462E-4
16:30,-9.88E-5,-9.85574E-5
17:00,-8.82E-5,-8.79632E-5
17:30,2.08E-5,3.70603E-5
18:00,-4.87561E-4,-4.86371E-4
18:30,-5.56E-5,-5.54301E-5
19:00,-2.13E-5,-2.22133E-5
19:30,3.34E-6,1.76494E-5
20:00,0.002000377,0.002568048
20:30,0.00141751,0.001413546
21:00,1.47E-5,-3.48122E-5
21:30,-8.48E-5,-1.00498E-4
22:00,-8.4E-5,-8.98115E-5
22:30,-2.96E-5,-2.9573E-5
23:00,2.99E-5,3.96846E-5
23:30,2.86E-5,3.52339E-5
2024/7/9 0:00,4.97584E-4,4.8507E-4
0:30,7.38E-5,7.95843E-5
1:00,-2.3E-5,-2.27917E-5
1:30,-4.22E-5,-4.21101E-5
2:00,-3.67021E-4,-3.65867E-4
2:30,-2.24E-5,-2.24237E-5
3:00,-4.9E-5,-4.88517E-5
3:30,2.34E-5,3.02122E-5
4:00,1.186E-4,1.2171E-4
4:30,5.39E-6,-1.70949E-5
5:00,-3.75E-5,-4.062E-5
5:30,6.71805E-4,6.73699E-4
6:00,6.99E-5,6.87546E-5
6:30,-5.67E-5,-4.40602E-5
7:00,4.43E-5,1.556E-4
7:30,7.55E-5,9.83942E-5
8:00,-4.74793E-4,-4.7157E-4
8:30,-6.87671E-4,-6.86301E-4
9:00,6.26E-5,1.36232E-4
9:30,-3.50095E-4,-3.49557E-4
10:00,-2.45397E-4,-2.44658E-4
10:30,-2.37699E-4,-2.37094E-4
11:00,-1.81179E-4,-1.80701E-4
11:30,-1.4847E-4,-1.48034E-4
12:00,-4.11751E-4,-4.10493E-4
12:30,-2.66832E-4,-2.66243E-4
13:00,-0.00362409,-0.003615328
13:30,-2.87835E-4,-2.86589E-4
14:00,-2.42724E-4,-2.41901E-4
14:30,-1.78306E-4,-1.78294E-4
15:00,-1.88277E-4,-1.87298E-4
15:30,-2.99027E-4,-2.97834E-4
16:00,-9.17E-5,9.78542E-5
16:30,-1.67827E-4,-1.66909E-4
17:00,-1.30716E-4,-1.29838E-4
17:30,-1.07755E-4,-1.07516E-4
18:00,-1.13012E-4,-1.12299E-4
18:30,-4.01E-5,-3.99486E-5
19:00,-5.06E-5,-5.0401E-5
19:30,-1.52E-5,-1.51499E-5
20:00,0.001483176,0.003120032
20:30,-1.80638E-4,-1.99299E-4
21:00,3.35E-5,1.98251E-5
21:30,3.89E-5,-1.79507E-5
22:00,3.68E-5,1.7921E-5
22:30,2.24E-5,1.34602E-5
23:00,1.86E-5,9.98426E-6
23:30,2.53E-5,1.06656E-5
0:00,2.63E-5,1.52437E-5
0:30,3.37E-5,1.69974E-5
